ppltn_qty,urbn_ppltn_qty,sbrbn_ppltn_qty,farm_ppltn_qty,non_farm_qty,medn_hshld_incm_amt,medn_incm_per_prsn_amt,hous_val_amt,edctn_less_than_9_qty,edctn_9_12_qty,edctn_high_schl_qty,edctn_some_clg_qty,edctn_assoc_dgre_qty,edctn_bchlr_dgre_qty,edctn_prfsnl_qty,per_urbn,per_sbrbn,per_farm,per_non_farm,per_less_than_9,per_9_to_12,per_hsd,per_some_clg,per_assoc,per_bchlr,per_prfsnl,zipcode
38249.0,37394.0,0.0,0.0,855.0,66051.0,25219.0,192000.0,437.0,2301.0,7135.0,7787.0,2202.0,4964.0,1783.0,97.0,0.0,0.0,2.0,1.0,6.0,18.0,20.0,5.0,12.0,4.0,98042
22036.0,22036.0,0.0,0.0,0.0,91904.0,53799.0,573900.0,149.0,404.0,1441.0,2826.0,673.0,5961.0,4878.0,100.0,0.0,0.0,0.0,0.0,1.0,6.0,12.0,3.0,27.0,22.0,98040
18194.0,18194.0,0.0,0.0,0.0,61813.0,31765.0,246600.0,269.0,905.0,2386.0,3703.0,1211.0,3547.0,1762.0,100.0,0.0,0.0,0.0,1.0,4.0,13.0,20.0,6.0,19.0,9.0,98028
21956.0,21956.0,0.0,0.0,0.0,47461.0,22158.0,175400.0,925.0,1773.0,4530.0,4630.0,1277.0,2688.0,952.0,100.0,0.0,0.0,0.0,4.0,8.0,20.0,21.0,5.0,12.0,4.0,98178
22814.0,22814.0,0.0,0.0,0.0,48606.0,28398.0,252600.0,599.0,1148.0,3077.0,4085.0,1326.0,5341.0,2818.0,100.0,0.0,0.0,0.0,2.0,5.0,13.0,17.0,5.0,23.0,12.0,98007
9533.0,9533.0,0.0,0.0,0.0,37411.0,22044.0,167200.0,364.0,925.0,2017.0,2337.0,594.0,956.0,281.0,100.0,0.0,0.0,0.0,3.0,9.0,21.0,24.0,6.0,10.0,2.0,98148
43121.0,43121.0,0.0,0.0,0.0,41743.0,23137.0,204200.0,1254.0,3055.0,7413.0,9749.0,2896.0,7707.0,3369.0,100.0,0.0,0.0,0.0,2.0,7.0,17.0,22.0,6.0,17.0,7.0,98133
19435.0,19435.0,0.0,0.0,0.0,47519.0,25844.0,200000.0,964.0,1516.0,3123.0,3812.0,1145.0,3290.0,1485.0,100.0,0.0,0.0,0.0,4.0,7.0,16.0,19.0,5.0,16.0,7.0,98126
25495.0,25245.0,0.0,0.0,250.0,60534.0,24011.0,168400.0,475.0,1828.0,5293.0,5336.0,1687.0,2725.0,856.0,99.0,0.0,0.0,0.0,1.0,7.0,20.0,20.0,6.0,10.0,3.0,98001
43263.0,43263.0,0.0,0.0,0.0,58475.0,34026.0,282800.0,370.0,1090.0,3667.0,6852.0,1951.0,13103.0,8891.0,100.0,0.0,0.0,0.0,0.0,2.0,8.0,15.0,4.0,30.0,20.0,98115
64181.0,64181.0,0.0,0.0,0.0,50958.0,21411.0,182900.0,2011.0,4483.0,12241.0,12168.0,3998.0,7611.0,2343.0,100.0,0.0,0.0,0.0,3.0,6.0,19.0,18.0,6.0,11.0,3.0,98031
26395.0,26395.0,0.0,0.0,0.0,61329.0,27709.0,239800.0,291.0,1208.0,4101.0,5252.0,1656.0,5347.0,1916.0,100.0,0.0,0.0,0.0,1.0,4.0,15.0,19.0,6.0,20.0,7.0,98011
18314.0,18314.0,0.0,0.0,0.0,42195.0,28918.0,255400.0,340.0,977.0,2730.0,3736.0,1033.0,5184.0,2086.0,100.0,0.0,0.0,0.0,1.0,5.0,14.0,20.0,5.0,28.0,11.0,98107
13969.0,13969.0,0.0,0.0,0.0,56455.0,39232.0,280200.0,186.0,459.0,1910.0,2922.0,1075.0,3518.0,1688.0,100.0,0.0,0.0,0.0,1.0,3.0,13.0,20.0,7.0,25.0,12.0,98136
22903.0,22903.0,0.0,0.0,0.0,63358.0,49107.0,432300.0,287.0,678.0,2140.0,3948.0,1384.0,6570.0,3606.0,100.0,0.0,0.0,0.0,1.0,2.0,9.0,17.0,6.0,28.0,15.0,98004
24972.0,20999.0,0.0,74.0,3899.0,62478.0,25505.0,211200.0,554.0,1763.0,4784.0,4817.0,1717.0,2903.0,1032.0,84.0,0.0,0.0,15.0,2.0,7.0,19.0,19.0,6.0,11.0,4.0,98092
40409.0,40409.0,0.0,0.0,0.0,44697.0,19414.0,187300.0,3671.0,3963.0,7051.0,6317.0,1743.0,4781.0,2710.0,100.0,0.0,0.0,0.0,9.0,9.0,17.0,15.0,4.0,11.0,6.0,98118
33958.0,33958.0,0.0,0.0,0.0,55863.0,26545.0,208800.0,836.0,1949.0,5343.0,6394.0,1788.0,6611.0,3341.0,100.0,0.0,0.0,0.0,2.0,5.0,15.0,18.0,5.0,19.0,9.0,98155
8162.0,5601.0,0.0,87.0,2474.0,72438.0,30871.0,256400.0,29.0,278.0,1322.0,1564.0,458.0,1581.0,458.0,68.0,0.0,1.0,30.0,0.0,3.0,16.0,19.0,5.0,19.0,5.0,98019
22271.0,18009.0,0.0,0.0,4262.0,70085.0,34109.0,308700.0,250.0,739.0,2715.0,3874.0,1337.0,5455.0,2452.0,80.0,0.0,0.0,19.0,1.0,3.0,12.0,17.0,6.0,24.0,11.0,98027
